,slp40,slp65,sam
1994-08-01,1016.37,983.05,33.32000000000005
1994-09-01,1012.2,985.27,26.930000000000064
1994-10-01,1014.1,983.52,30.58000000000004
1994-11-01,1011.87,990.45,21.41999999999996
1994-12-01,1014.27,983.68,30.590000000000032
1995-01-01,1016.27,986.6,29.66999999999996
1995-02-01,1015.73,987.37,28.360000000000014
1995-03-01,1014.6,986.48,28.120000000000005
1995-04-01,1016.22,986.33,29.889999999999986
1995-05-01,1017.2,984.75,32.450000000000045
1995-06-01,1013.38,992.02,21.360000000000014
1995-07-01,1009.92,997.2,12.719999999999914
1995-08-01,1015.25,988.5,26.75
1995-09-01,1017.07,976.83,40.24000000000001
1995-10-01,1014.62,985.47,29.149999999999977
1995-11-01,1013.83,986.12,27.710000000000036
1995-12-01,1014.38,983.8,30.58000000000004
1996-01-01,1014.5,990.88,23.620000000000005
1996-02-01,1014.75,990.57,24.17999999999995
1996-03-01,1016.52,983.57,32.94999999999993
1996-04-01,1015.27,987.62,27.649999999999977
1996-05-01,1016.1,985.43,30.670000000000073
1996-06-01,1011.47,989.17,22.300000000000068
1996-07-01,1015.42,989.2,26.219999999999914
1996-08-01,1011.52,986.42,25.100000000000023
1996-09-01,1011.23,992.57,18.659999999999968
1996-10-01,1016.82,979.8,37.020000000000095
1996-11-01,1011.02,988.17,22.850000000000023
1996-12-01,1012.6,989.45,23.149999999999977
1997-01-01,1016.47,988.6,27.870000000000005
1997-02-01,1016.1,987.12,28.980000000000018
1997-03-01,1015.77,981.55,34.22000000000003
1997-04-01,1015.53,986.77,28.75999999999999
1997-05-01,1015.57,986.27,29.300000000000068
1997-06-01,1015.77,992.88,22.889999999999986
1997-07-01,1016.15,983.3,32.85000000000002
1997-08-01,1015.15,982.95,32.19999999999993
1997-09-01,1016.7,985.65,31.050000000000068
1997-10-01,1012.88,984.72,28.159999999999968
1997-11-01,1011.68,992.55,19.129999999999995
1997-12-01,1011.73,992.13,19.600000000000023
1998-01-01,1015.3,985.68,29.620000000000005
1998-02-01,1014.85,985.28,29.57000000000005
1998-03-01,1014.82,983.82,31.0
1998-04-01,1016.32,979.43,36.8900000000001
1998-05-01,1014.98,986.25,28.730000000000018
1998-06-01,1014.0,985.77,28.230000000000018
1998-07-01,1016.75,983.3,33.450000000000045
1998-08-01,1017.83,982.35,35.48000000000002
1998-09-01,1016.13,984.43,31.700000000000045
1998-10-01,1014.03,982.7,31.329999999999927
1998-11-01,1015.58,981.08,34.5
1998-12-01,1014.78,981.37,33.40999999999997
1999-01-01,1015.63,987.48,28.149999999999977
1999-02-01,1016.07,987.37,28.700000000000045
1999-03-01,1015.25,988.73,26.519999999999982
1999-04-01,1016.93,982.25,34.67999999999995
1999-05-01,1016.48,983.53,32.950000000000045
1999-06-01,1013.38,995.87,17.50999999999999
1999-07-01,1015.22,986.3,28.920000000000073
1999-08-01,1016.62,984.13,32.49000000000001
1999-09-01,1016.17,986.82,29.34999999999991
1999-10-01,1016.32,976.85,39.47000000000003
1999-11-01,1014.88,982.88,32.0
1999-12-01,1015.27,979.8,35.47000000000003
2000-01-01,1014.5,981.33,33.16999999999996
2000-02-01,1017.45,985.53,31.920000000000073
2000-03-01,1017.95,988.43,29.520000000000095
2000-04-01,1017.37,988.1,29.269999999999982
2000-05-01,1015.8,984.63,31.16999999999996
2000-06-01,1013.08,989.4,23.680000000000064
2000-07-01,1016.45,990.32,26.129999999999995
2000-08-01,1013.87,987.7,26.16999999999996
2000-09-01,1011.02,991.0,20.019999999999982
2000-10-01,1015.13,980.73,34.39999999999998
2000-11-01,1013.25,989.9,23.350000000000023
2000-12-01,1009.6,993.28,16.32000000000005
2001-01-01,1014.23,987.65,26.58000000000004
2001-02-01,1013.73,991.12,22.610000000000014
2001-03-01,1015.22,986.22,29.0
2001-04-01,1018.67,982.62,36.049999999999955
2001-05-01,1011.75,991.38,20.370000000000005
2001-06-01,1012.92,987.88,25.039999999999964
2001-07-01,1015.77,990.12,25.649999999999977
2001-08-01,1013.58,982.45,31.129999999999995
